ranking,title,year,duration (in Min),restriction,rating,votes (in M)
193,Memories of Murder,2003,131,15,8.1,0.243
194,Gone Girl,2014,149,18,8.1,1.1
195,Ratatouille,2007,111,U,8.1,0.89
196,"Monsters, Inc.",2001,92,U,8.1,1.0
197,In the Name of the Father,1993,133,15,8.1,0.197
198,How to Train Your Dragon,2010,98,PG,8.1,0.849
199,Wild Tales,2014,122,15,8.1,0.23
200,The Gold Rush,1925,95,U,8.1,0.124
201,Jaws,1975,124,A,8.1,0.697
202,Sherlock Jr.,1924,45,U,8.2,0.062
203,Mary and Max,2009,92,12A,8.1,0.197
204,Le Mans '66,2019,152,12A,8.1,0.526
205,The Deer Hunter,1978,183,X,8.1,0.377
206,The Wages of Fear,1953,156,A,8.1,0.071
207,The General,1926,78,U,8.1,0.103
208,Mr. Smith Goes to Washington,1939,129,U,8.1,0.126
209,On the Waterfront,1954,108,A,8.1,0.173
210,Logan,2017,137,15,8.1,0.893
211,Wild Strawberries,1957,92,A,8.1,0.121
212,Rocky,1976,120,A,8.1,0.662
213,The Third Man,1949,104,A,8.1,0.19
214,Tokyo Story,1953,137,U,8.1,0.074
215,Spotlight,2015,129,15,8.1,0.52
216,The Big Lebowski,1998,117,18,8.1,0.893
217,The Terminator,1984,107,18,8.1,0.968
218,Maharaja,2024,141,15,8.4,0.07
219,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,12A,8.1,1.3
220,The Seventh Seal,1957,96,X,8.1,0.209
221,Room,2015,118,15,8.1,0.469
222,La haine,1995,98,15,8.1,0.213
223,Jai Bhim,2021,164,Not Rated,8.6,0.227
224,Hotel Rwanda,2004,121,12A,8.1,0.385
225,Platoon,1986,120,15,8.1,0.457
226,The Best Years of Our Lives,1946,170,U,8.1,0.075
227,Before Sunset,2004,80,15,8.1,0.303
228,The Exorcist,1973,122,X,8.1,0.479
229,The Sound of Music,1965,172,U,8.1,0.278
230,The Incredibles,2004,115,U,8.0,0.859
231,The Wizard of Oz,1939,102,A,8.1,0.452
232,The Passion of Joan of Arc,1928,110,A,8.1,0.065
233,Hachi: A Dog's Tale,2009,93,U,8.1,0.33
234,Rush,2013,123,15,8.1,0.536
235,Stand by Me,1986,89,15,8.1,0.466
236,My Father and My Son,2005,112,PG,8.2,0.098
237,Network,1976,121,AA,8.1,0.18
238,The Iron Giant,1999,86,U,8.1,0.246
239,I'm Still Here,2024,137,15,8.2,0.112
240,A Silent Voice,2016,130,12A,8.1,0.122
241,The Handmaiden,2016,145,18,8.1,0.189
242,The Battle of Algiers,1966,121,X,8.1,0.071
243,To Be or Not to Be,1942,99,U,8.1,0.047
244,The Grapes of Wrath,1940,129,A,8.1,0.105
245,Into the Wild,2007,148,15,8.0,0.681
246,Groundhog Day,1993,101,PG,8.0,0.719
247,The Help,2011,146,12A,8.1,0.514
248,Autumn Sonata,1978,92,AA,8.1,0.04
249,Amores perros,2000,154,18,8.0,0.268
250,Drishyam,2015,163,12A,8.2,0.102
